,year,congress house,congress sen class 1,congress sen class 2,congress sen class 3,electoral,governor,legislature house,legislature sen
Alabama,1980,"4D, 3R",,Howell Heflin (D),Donald W. Stewart (D),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1981,"4D, 3R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1982,"4D, 3R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,Fob James (D),"101D, 4R",35D
Alabama,1983,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"97D, 8R","32D, 3R"
Alabama,1984,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1985,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1986,"5D, 2R",,Howell Heflin (D),Jeremiah Denton (R),Ronald Reagan and George H. W. Bush (R) Y,George Wallace (D),"87D, 18R","29D, 3R, 3I"
Alabama,1987,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),Ronald Reagan and George H. W. Bush (R) Y,H. Guy Hunt (R)[47],"89D, 16R","30D, 5R"
Alabama,1988,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"89D, 16R","30D, 5R"
Alabama,1989,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R[48]"
Alabama,1990,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R[48]"
Alabama,1991,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) Y,H. Guy Hunt (R)[47],"82D, 23R","28D, 7R"
Alabama,1992,"5D, 2R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,H. Guy Hunt (R)[47],"82D, 23R","28D, 7R"
Alabama,1993,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,H. Guy Hunt (R)[47],"82D, 23R","27D, 8R"
Alabama,1993,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,"Jim Folsom, Jr. (D)[45]","82D, 23R","27D, 8R"
Alabama,1994,"4D, 3R",,Howell Heflin (D),Richard Shelby (D),George H. W. Bush and Dan Quayle (R) N,"Jim Folsom, Jr. (D)[45]","82D, 23R","27D, 8R"
Alabama,1995,"4D, 3R",,Howell Heflin (D),Richard Shelby (R)[50],George H. W. Bush and Dan Quayle (R) N,Fob James (R),"73D, 32R","23D, 12R"
Alabama,1996,"4D, 3R",,Howell Heflin (D),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"73D, 32R","23D, 12R"
Alabama,1997,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"71D, 34R[51]","23D, 12R"
Alabama,1998,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Fob James (R),"68D, 37R[53]","21D, 14R[52]"
Alabama,1999,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],Bob Dole and Jack Kemp (R) N,Don Siegelman (D),"69D, 36R","23D, 12R"
Alabama,2000,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"69D, 36R","24D, 11R[55]"
Alabama,2001,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"68D, 37R[56]","24D, 11R[55]"
Alabama,2002,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Don Siegelman (D),"67D, 38R[57]","24D, 11R[55]"
Alabama,2003,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"63D, 42R[58]","25D, 10R"
Alabama,2004,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"63D, 42R[58]","25D, 10R"
Alabama,2004,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"63D, 42R[58]","25D, 10R"
Alabama,2005,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"63D, 42R[58]","25D, 10R"
Alabama,2006,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"62D, 43R[59]","25D, 10R"
Alabama,2007,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],George W. Bush and Dick Cheney (R) Y,Bob Riley (R),"62D, 43R[59]","23D, 12R"
Alabama,2008,"5R, 2D",,Jeff Sessions (R),Richard Shelby (R)[50],John McCain and Sarah Palin (R) N,Bob Riley (R),"62D, 43R[59]","22D, 13R[60]"
Alabama,2009,"4R, 3D",,Jeff Sessions (R),Richard Shelby (R)[50],John McCain and Sarah Palin (R) N,Bob Riley (R),"62D, 43R[59]","21D, 13R, 1I[61]"
Alabama,2010,"5R, 2D[64]",,Jeff Sessions (R),Richard Shelby (R)[50],John McCain and Sarah Palin (R) N,Bob Riley (R),"60D, 45R[63]","20D, 14R, 1I[62]"
Alabama,2011,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],John McCain and Sarah Palin (R) N,Robert Bentley (R),"66R, 39D[65]","22R, 12D, 1I"
Alabama,2012,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],Mitt Romney and Paul Ryan (R) N,Robert Bentley (R),"66R, 39D[65]","22R, 12D, 1I"
Alabama,2013,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],Mitt Romney and Paul Ryan (R) N,Robert Bentley (R),"66R, 38D, 1I[67]","23R, 11D, 1I[66]"
Alabama,2013,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],Mitt Romney and Paul Ryan (R) N,Robert Bentley (R),"66R, 38D, 1I[67]","23R, 11D, 1I[66]"
Alabama,2014,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],Mitt Romney and Paul Ryan (R) N,Robert Bentley (R),"67R, 37D, 1I[68]","23R, 11D, 1I[66]"
Alabama,2015,"6R, 1D",,Jeff Sessions (R),Richard Shelby (R)[50],Mitt Romney and Paul Ryan (R) N,Robert Bentley (R),"72R, 33D","26R, 8D, 1I"
Alaska,1980,Don Young (R),,Ted Stevens (R)[9],Mike Gravel (D),Ronald Reagan and George H. Bush (R) Y,Jay Hammond (R),"25D, 14R, 1L","11R, 9D"
Alaska,1981,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Jay Hammond (R),"22D, 16R, 2L","10D, 10R[14]"
Alaska,1981,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Jay Hammond (R),[15],"10D, 10R[14]"
Alaska,1982,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Jay Hammond (R),[15],"10D, 10R[14]"
Alaska,1983,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Bill Sheffield (D),"20D, 20R[7]","11R, 9D[14]"
Alaska,1984,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Bill Sheffield (D),"20D, 20R[7]","11R, 9D[14]"
Alaska,1985,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Bill Sheffield (D),"21D, 18R, 1L","11R, 9D"
Alaska,1986,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Bill Sheffield (D),"21D, 18R, 1L","11R, 9D"
Alaska,1987,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Ronald Reagan and George H. Bush (R) Y,Steve Cowper (D),"24D, 16R","12R, 8D"
Alaska,1988,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) Y,Steve Cowper (D),"24D, 16R","12R, 8D"
Alaska,1989,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) Y,Steve Cowper (D),"24D, 16R","12R, 8D"
Alaska,1990,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) Y,Steve Cowper (D),"24D, 16R","12R, 8D"
Alaska,1991,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) Y,Walter J. Hickel (A),"23D, 17R","10D, 10R[11]"
Alaska,1992,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) N,Walter J. Hickel (A),"23D, 17R","10D, 10R[11]"
Alaska,1993,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) N,Walter J. Hickel (A),"20D, 18R, 1A, 1I[16]","10R, 9D, 1ID[11]"
Alaska,1994,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) N,Walter J. Hickel (A),"20D, 18R, 1A, 1I[16]","10R, 9D, 1ID[11]"
Alaska,1994,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) N,Walter J. Hickel (R),"21D, 18R, 1I[17]","10R, 9D, 1ID[11]"
Alaska,1995,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George H. Bush and Dan Quayle (R) N,Tony Knowles (D),"22R, 17D, 1I","12R, 7D, 1ID"
Alaska,1996,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Bob Dole and Jack Kemp (R) N,Tony Knowles (D),"22R, 17D, 1I","12R, 7D, 1ID"
Alaska,1997,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Bob Dole and Jack Kemp (R) N,Tony Knowles (D),"25R, 15D","14R, 6D"
Alaska,1998,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Bob Dole and Jack Kemp (R) N,Tony Knowles (D),"25R, 15D","14R, 6D"
Alaska,1999,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),Bob Dole and Jack Kemp (R) N,Tony Knowles (D),"26R, 14D","15R, 5D"
Alaska,2000,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George W. Bush and Dick Cheney (R) Y,Tony Knowles (D),"26R, 14D","15R, 5D"
Alaska,2001,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George W. Bush and Dick Cheney (R) Y,Tony Knowles (D),"27R, 13D","14R, 6D"
Alaska,2002,Don Young (R),,Ted Stevens (R)[9],Frank Murkowski (R),George W. Bush and Dick Cheney (R) Y,Tony Knowles (D),"27R, 13D","14R, 6D"
Alaska,2002,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Tony Knowles (D),"27R, 13D","14R, 6D"
Alaska,2003,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Frank Murkowski (R),"27R, 13D","12R, 8D[18]"
Alaska,2004,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Frank Murkowski (R),"27R, 13D","12R, 8D[18]"
Alaska,2005,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Frank Murkowski (R),"26R, 14D","12R, 8D[18]"
Alaska,2006,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Frank Murkowski (R),"26R, 14D","12R, 8D[18]"
Alaska,2007,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),George W. Bush and Dick Cheney (R) Y,Sarah Palin (R)[19],"23R, 17D","11R, 9D[20]"
Alaska,2008,Don Young (R),,Ted Stevens (R)[9],Lisa Murkowski (R),John McCain and Sarah Palin (R) N,Sarah Palin (R)[19],"23R, 17D","11R, 9D[20]"
Alaska,2009,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),John McCain and Sarah Palin (R) N,Sean Parnell (R)[10],"22R, 18D","10R, 10D[22]"
Alaska,2010,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),John McCain and Sarah Palin (R) N,Sean Parnell (R)[10],"22R, 18D","10R, 10D[22]"
Alaska,2011,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),John McCain and Sarah Palin (R) N,Sean Parnell (R)[10],"24R, 16D[23]","10R, 10D[22]"
Alaska,2012,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),Mitt Romney and Paul Ryan (R) N,Sean Parnell (R)[10],"24R, 16D[23]","10R, 10D[22]"
Alaska,2013,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),Mitt Romney and Paul Ryan (R) N,Sean Parnell (R)[10],"26R, 14D[23]","13R, 7D"
Alaska,2014,Don Young (R),,Mark Begich (D),Lisa Murkowski (R),Mitt Romney and Paul Ryan (R) N,Sean Parnell (R)[10],"26R, 14D[23]","13R, 7D"
Alaska,2015,Don Young (R),,Dan Sullivan (R),Lisa Murkowski (R),Mitt Romney and Paul Ryan (R) N,Bill Walker (I),"23R, 16D, 1I[23]","14R, 6D"
Arizona,1980,"2R, 2D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"42R, 18D","16R, 14D"
Arizona,1981,"2R, 2D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"43R, 17D","16R, 14D"
Arizona,1982,"2R, 2D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"43R, 17D","16R, 14D"
Arizona,1983,"3R, 2D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"39R, 21D","18R, 12D"
Arizona,1984,"3R, 2D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"39R, 21D","18R, 12D"
Arizona,1985,"4R, 1D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"38R, 22D","18R, 12D"
Arizona,1986,"4R, 1D",Dennis DeConcini (D),,Barry Goldwater (R),Ronald Reagan and George H. W. Bush (R) Y,Bruce Babbitt (D)[37],"38R, 22D","18R, 12D"
Arizona,1987,"4R, 1D",Dennis DeConcini (D),,John McCain (R),Ronald Reagan and George H. W. Bush (R) Y,Evan Mecham (R)[38],"36R, 24D","19R, 11D"
Arizona,1988,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) Y,Evan Mecham (R)[38],"36R, 24D","19R, 11D"
Arizona,1988,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) Y,Rose Perica Mofford (D)[36],"36R, 24D","19R, 11D"
Arizona,1989,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) Y,Rose Perica Mofford (D)[36],"34R, 26D","17R, 13D"
Arizona,1990,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) Y,Rose Perica Mofford (D)[36],"34R, 26D","17R, 13D"
Arizona,1991,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) Y,Fife Symington (R),"33R, 27D","17D, 13R"
Arizona,1992,"4R, 1D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) N,Fife Symington (R),"33R, 27D","17D, 13R"
Arizona,1993,"3R, 3D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) N,Fife Symington (R),"35R, 25D","18R, 12D"
Arizona,1994,"3R, 3D",Dennis DeConcini (D),,John McCain (R),George H. W. Bush and Dan Quayle (R) N,Fife Symington (R),"35R, 25D","18R, 12D"
Arizona,1995,"5R, 1D",Jon Kyl (R),,John McCain (R),George H. W. Bush and Dan Quayle (R) N,Fife Symington (R),"38R, 22D","19R, 11D"
Arizona,1996,"5R, 1D",Jon Kyl (R),,John McCain (R),Bill Clinton and Al Gore (D) Y,Fife Symington (R),"38R, 22D","19R, 11D"
Arizona,1997,"5R, 1D",Jon Kyl (R),,John McCain (R),Bill Clinton and Al Gore (D) Y,Fife Symington (R),"38R, 22D","18R, 12D"
Arizona,1997,"5R, 1D",Jon Kyl (R),,John McCain (R),Bill Clinton and Al Gore (D) Y,Jane Dee Hull (R)[33],"38R, 22D","18R, 12D"
Arizona,1998,"5R, 1D",Jon Kyl (R),,John McCain (R),Bill Clinton and Al Gore (D) Y,Jane Dee Hull (R)[33],"38R, 22D","18R, 12D"
Arizona,1999,"5R, 1D",Jon Kyl (R),,John McCain (R),Bill Clinton and Al Gore (D) Y,Jane Dee Hull (R)[33],"40R, 20D","16R, 14D"
Arizona,2000,"5R, 1D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Jane Dee Hull (R)[33],"40R, 20D","16R, 14D"
Arizona,2001,"5R, 1D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Jane Dee Hull (R)[33],"36R, 24D","15R, 15D[40]"
Arizona,2002,"5R, 1D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Jane Dee Hull (R)[33],"36R, 24D","15R, 15D[40]"
Arizona,2003,"6R, 2D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Janet Napolitano (D)[41],"39R, 21D","17R, 13D"
Arizona,2004,"6R, 2D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Janet Napolitano (D)[41],"39R, 21D","17R, 13D"
Arizona,2005,"6R, 2D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Janet Napolitano (D)[41],"38R, 22D","18R, 12D"
Arizona,2006,"6R, 2D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Janet Napolitano (D)[41],"39R, 21D","18R, 12D"
Arizona,2007,"4R, 4D",Jon Kyl (R),,John McCain (R),George W. Bush and Dick Cheney (R) Y,Janet Napolitano (D)[41],"33R, 27D","17R, 13D"
Arizona,2008,"4R, 4D",Jon Kyl (R),,John McCain (R),John McCain and Sarah Palin (R) N,Janet Napolitano (D)[41],"33R, 27D","17R, 13D"
Arizona,2009,"5D, 3R",Jon Kyl (R),,John McCain (R),John McCain and Sarah Palin (R) N,Janet Napolitano (D)[41],"36R, 24D","18R, 12D"
Arizona,2009,"5D, 3R",Jon Kyl (R),,John McCain (R),John McCain and Sarah Palin (R) N,Jan Brewer (R)[36],"36R, 24D","18R, 12D"
Arizona,2010,"5D, 3R",Jon Kyl (R),,John McCain (R),John McCain and Sarah Palin (R) N,Jan Brewer (R)[36],"36R, 24D","18R, 12D"
Arizona,2011,"5R, 3D",Jon Kyl (R),,John McCain (R),John McCain and Sarah Palin (R) N,Jan Brewer (R)[36],"40R, 20D","21R, 9D"
Arizona,2012,"5R, 3D",Jon Kyl (R),,John McCain (R),Mitt Romney and Paul Ryan (R) N,Jan Brewer (R)[36],"40R, 20D","21R, 9D"
Arizona,2013,"5D, 4R",Jeff Flake (R),,John McCain (R),Mitt Romney and Paul Ryan (R) N,Jan Brewer (R)[36],"36R, 24D","17R, 13D"
Arizona,2014,"5D, 4R",Jeff Flake (R),,John McCain (R),Mitt Romney and Paul Ryan (R) N,Jan Brewer (R)[36],"36R, 24D","17R, 13D"
Arizona,2015,"5R, 4D",Jeff Flake (R),,John McCain (R),Mitt Romney and Paul Ryan (R) N,Doug Ducey (R),"36R, 24D","17R, 13D"
Arizona,2016,"5R, 4D",Jeff Flake (R),,John McCain (R),Donald Trump and Mike Pence (R) Y,Doug Ducey (R),"36R, 24D","18R, 12D"
Arkansas,1980,"2D, 2R",, , ,Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D),"94D, 6R",35D
Arkansas,1981,"2D, 2R",, ,Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Frank D. White (R),"93D, 7R","34D, 1R"
Arkansas,1982,"2D, 2R",, ,Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Frank D. White (R),"93D, 7R","34D, 1R"
Arkansas,1983,"2D, 2R",, ,Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D)[48][49],"93D, 7R","32D, 3R"
Arkansas,1984,"2D, 2R",, ,Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D)[48][49],"93D, 7R","32D, 3R"
Arkansas,1985,"3D, 1R",,David Pryor (D),Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D)[48][49],"91D, 9R","32D, 3R"
Arkansas,1986,"3D, 1R",,David Pryor (D),Dale Bumpers (D),Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D)[48][49],"91D, 9R","32D, 3R"
Arkansas,1987,"3D, 1R",,David Pryor (D), ,Ronald Reagan and George H. W. Bush (R) Y,Bill Clinton (D)[48][49],"91D, 9R","31D, 4R"
Arkansas,1988,"3D, 1R",,David Pryor (D), ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"91D, 9R","31D, 4R"
Arkansas,1989,"3D, 1R",,David Pryor (D), ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"88D, 12R","31D, 4R"
Arkansas,1989,"2D, 2R",,David Pryor (D), ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"88D, 12R","31D, 4R"
Arkansas,1990,"2D, 2R",,David Pryor (D), ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"88D, 12R","31D, 4R"
Arkansas,1990,"2D, 2R",,David Pryor (D), ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"88D, 12R","31D, 4R"
Arkansas,1991,"3D, 1R",, , ,George H. W. Bush and Dan Quayle (R) Y,Bill Clinton (D)[48][49],"91D, 9R","31D, 4R"
Arkansas,1991,"3D, 1R",, , ,,Bill Clinton (D)[48][49],"91D, 9R","31D, 4R"
Arkansas,1992,"3D, 1R",, , ,Bill Clinton and Al Gore (D) Y,Jim Guy Tucker (D)[42][50],"91D, 9R","31D, 4R"
Arkansas,1993,"2D, 2R",, , ,Bill Clinton and Al Gore (D) Y,Jim Guy Tucker (D)[42][50],"89D, 11R","31D, 4R"
Arkansas,1994,"2D, 2R",, , ,Bill Clinton and Al Gore (D) Y,Jim Guy Tucker (D)[42][50],"89D, 11R","31D, 4R"
Arkansas,1995,"2D, 2R",, , ,Bill Clinton and Al Gore (D) Y,Jim Guy Tucker (D)[42][50],"88D, 12R","30D, 5R"
Arkansas,1996,"2D, 2R",, , ,Bill Clinton and Al Gore (D) Y,Jim Guy Tucker (D)[42][50],"88D, 12R","30D, 5R"
Arkansas,1996,"2D, 2R",, , ,Bill Clinton and Al Gore (D) Y,Mike Huckabee (R)[42],"88D, 12R","30D, 5R"
Arkansas,1997,"2D, 2R",,Tim Hutchinson (R), ,Bill Clinton and Al Gore (D) Y,Mike Huckabee (R)[42],"87D, 13R","30D, 5R"
Arkansas,1998,"2D, 2R",,Tim Hutchinson (R), ,Bill Clinton and Al Gore (D) Y,Mike Huckabee (R)[42],"87D, 13R","30D, 5R"
Arkansas,1999,"2D, 2R",,Tim Hutchinson (R),Blanche Lincoln (D),Bill Clinton and Al Gore (D) Y,Mike Huckabee (R)[42],"76D, 24R","30D, 5R"
Arkansas,2000,"2D, 2R",,Tim Hutchinson (R),Blanche Lincoln (D),George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"76D, 24R","30D, 5R"
Arkansas,2001,"3D, 1R",,Tim Hutchinson (R),Blanche Lincoln (D),George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"72D, 28R","27D, 8R"
Arkansas,2002,"3D, 1R",,Tim Hutchinson (R),Blanche Lincoln (D),George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"72D, 28R","27D, 8R"
Arkansas,2003,"3D, 1R",,Mark Pryor (D),Blanche Lincoln (D),George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"70D, 30R","27D, 8R"
Arkansas,2004,"3D, 1R",,Mark Pryor (D),Blanche Lincoln (D),George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"70D, 30R","27D, 8R"
Arkansas,2005,"3D, 1R",,Mark Pryor (D), ,George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"72D, 28R","27D, 8R"
Arkansas,2006,"3D, 1R",,Mark Pryor (D), ,George W. Bush and Dick Cheney (R) Y,Mike Huckabee (R)[42],"72D, 28R","27D, 8R"
Arkansas,2007,"3D, 1R",,Mark Pryor (D), ,George W. Bush and Dick Cheney (R) Y,Mike Beebe (D),"72D, 28R","27D, 8R"
Arkansas,2008,"3D, 1R",,Mark Pryor (D), ,John McCain and Sarah Palin (R) N,Mike Beebe (D),"72D, 28R","27D, 8R"
Arkansas,2009,"3D, 1R",, , ,John McCain and Sarah Palin (R) N,Mike Beebe (D),"71D, 28R, 1G","27D, 8R"
Arkansas,2010,"3D, 1R",, , ,John McCain and Sarah Palin (R) N,Mike Beebe (D),"72D, 28R[52]","27D, 8R"
Arkansas,2011,"3R, 1D",, ,John Boozman (R),John McCain and Sarah Palin (R) N,Mike Beebe (D),"54D, 46R","20D, 15R"
Arkansas,2012,"3R, 1D",, ,John Boozman (R),Mitt Romney and Paul Ryan N,Mike Beebe (D),"54D, 46R","20D, 15R"
Arkansas,2013,4R,, ,John Boozman (R),Mitt Romney and Paul Ryan N,Mike Beebe (D),"51R, 48D, 1G","21R, 14D"
Arkansas,2013,4R,, ,John Boozman (R),Mitt Romney and Paul Ryan N,Mike Beebe (D),"51R, 48D, 1G","21R, 14D"
Arkansas,2014,4R,, ,John Boozman (R),Mitt Romney and Paul Ryan N,Mike Beebe (D),"51R, 48D, 1G","22R, 13D"
Arkansas,2015,4R,,Tom Cotton (R),John Boozman (R),Mitt Romney and Paul Ryan N,Asa Hutchinson (R),"64R, 36D","24R, 11D"
Arkansas,2015,4R,,Tom Cotton (R),John Boozman (R),Mitt Romney and Paul Ryan N,Asa Hutchinson (R),"63R, 36D, 1I[55]","24R, 11D"
Arkansas,2015,4R,,Tom Cotton (R),John Boozman (R),Mitt Romney and Paul Ryan N,Asa Hutchinson (R),"64R, 35D, 1I[56]","24R, 11D"
Arkansas,2016,4R,,Tom Cotton (R),John Boozman (R),Donald Trump and Mike Pence (R) Y,Asa Hutchinson (R),"64R, 35D, 1I[56]","24R, 11D"
